seat_assigned,assignee_login,assignee_id,assignee_type,last_activity,is_active,created_at,updated_at,pending_cancellation_date,plan_type
umaranit_octocps,umaranit_octocps,174559567,User,2026-04-23T15:39:18+05:30,False,2025-10-07T18:59:57+05:30,2025-10-07T18:59:57+05:30,,business
sombaner_octocps,sombaner_octocps,174559568,User,2026-08-04T11:04:25+05:30,True,2025-10-07T18:59:57+05:30,2025-10-07T18:59:57+05:30,,business
devrajmehta_octocps,devrajmehta_octocps,235835490,User,,False,2025-10-07T18:59:57+05:30,2025-10-07T18:59:57+05:30,,business
neildcruz_octocps,neildcruz_octocps,190603859,User,2026-01-22T16:12:49+05:30,False,2025-10-08T15:54:30+05:30,2025-10-08T15:54:30+05:30,,business
satomic_octocps,satomic_octocps,187005165,User,,False,2025-10-08T15:55:04+05:30,2025-10-08T15:55:04+05:30,,business
jacwu_octocps,jacwu_octocps,189160503,User,,False,2025-10-08T15:55:14+05:30,2025-10-08T15:55:14+05:30,,business
shinyay_octocps,shinyay_octocps,168105748,User,,False,2025-10-08T15:55:21+05:30,2025-10-08T15:55:21+05:30,,business
jmahapol_octocps,jmahapol_octocps,213756209,User,,False,2025-10-08T15:55:31+05:30,2025-10-08T15:55:31+05:30,,business
son7211_octocps,son7211_octocps,194756253,User,,False,2025-10-08T15:55:51+05:30,2025-10-08T15:55:51+05:30,,business
loganporelle_octocps,loganporelle_octocps,164539791,User,2026-02-03T23:00:29+05:30,False,2025-10-10T09:11:03+05:30,2025-10-10T09:11:03+05:30,,business
deepankar_octocps,deepankar_octocps,240432898,User,2025-12-22T15:54:58+05:30,False,2025-10-27T12:55:16+05:30,2025-10-27T12:55:16+05:30,,business
vandana_octocps,vandana_octocps,240432901,User,2026-02-03T23:47:55+05:30,False,2025-10-27T12:55:16+05:30,2025-10-27T12:55:16+05:30,,business
jonjozwiak_octocps,jonjozwiak_octocps,164538411,User,2026-08-12T22:14:01+05:30,True,2026-01-13T03:29:42+05:30,2026-01-13T03:29:42+05:30,,business
evgenijrenke_octocps,evgenijrenke_octocps,215947960,User,2026-06-01T11:00:51+05:30,False,2026-03-02T17:07:43+05:30,2026-03-02T17:07:43+05:30,,business
dylan-rinker_octocps,dylan-rinker_octocps,164539766,User,2026-07-06T21:53:15+05:30,False,2026-03-03T03:23:21+05:30,2026-03-03T03:23:21+05:30,,business
samqbush_octocps,samqbush_octocps,191292032,User,2026-06-04T00:46:20+05:30,False,2026-03-03T03:23:21+05:30,2026-03-03T03:23:21+05:30,,business
visrani_octocps,visrani_octocps,165284131,User,,False,2026-04-10T15:35:43+05:30,2026-04-10T15:35:43+05:30,,business
dhiwakark_octocps,dhiwakark_octocps,165284134,User,,False,2026-04-10T15:35:43+05:30,2026-04-10T15:35:43+05:30,,business
ambilykk_octocps,ambilykk_octocps,165284135,User,,False,2026-04-10T15:35:43+05:30,2026-04-10T15:35:43+05:30,,business
gupta-kartik_octocps,gupta-kartik_octocps,165284137,User,2026-06-09T12:32:19+05:30,False,2026-04-10T15:35:43+05:30,2026-04-10T15:35:43+05:30,,business
abhi-singhs_octocps,abhi-singhs_octocps,218062761,User,,False,2026-04-10T15:35:43+05:30,2026-04-10T15:35:43+05:30,,business
malantin_octocps,malantin_octocps,164539705,User,,False,2026-07-13T15:52:58+05:30,2026-07-13T15:52:58+05:30,,business
helaili_octocps,helaili_octocps,164539706,User,,False,2026-07-13T15:52:58+05:30,2026-07-13T15:52:58+05:30,,business
tgrall_octocps,tgrall_octocps,164539709,User,,False,2026-07-13T15:52:58+05:30,2026-07-13T15:52:58+05:30,,business
davelosert_octocps,davelosert_octocps,171698605,User,,False,2026-07-13T15:52:58+05:30,2026-07-13T15:52:58+05:30,,business
ghsioux_octocps,ghsioux_octocps,173257871,User,,False,2026-07-13T15:52:58+05:30,2026-07-13T15:52:58+05:30,,business
bmanterdev_octocps,bmanterdev_octocps,267667611,User,2026-07-30T15:00:20+05:30,True,2026-07-30T15:08:56+05:30,2026-07-30T15:08:56+05:30,,business
